,title,names,text
0,ROAD TRAFFIC (AMENDMENT) BILL,,Order for Second Reading read.
1,ROAD TRAFFIC (AMENDMENT) BILL,The Second Minister for Home Affairs (Mrs Josephine Teo),"The Second Minister for Home Affairs (Mrs Josephine Teo): Mr Speaker, I beg to move, ""That the Bill be now read a second time.”"
2,ROAD TRAFFIC (AMENDMENT) BILL,,"The Road Traffic Act, or RTA, provides for the regulation of road traffic and vehicles. "
3,ROAD TRAFFIC (AMENDMENT) BILL,,"The most recent amendments were by MOT. In 2017, MOT introduced changes to the autonomous vehicle testing regime. In 2018, the RTA was updated along with the introduction of the Active Mobility Act. MHA also amended the RTA in 2014 to make it an offence for motorists to hold any type of mobile communication device while driving."
4,ROAD TRAFFIC (AMENDMENT) BILL,,"While the RTA has been updated regularly, the last comprehensive review was conducted more than 20 years ago, in 1996. The Road Traffic (Amendment) Bill 2019 is therefore timely. To make our roads safer, we need stronger deterrence against irresponsible driving. We will do this by: (a) enhancing the criminal penalties for irresponsible driving; and (b) tightening the regulatory regime against irresponsible driving."
5,ROAD TRAFFIC (AMENDMENT) BILL,,"I will speak first on enhancing criminal penalties. Senior Parliamentary Secretary Sun Xueling, who will be speaking in her Home Affairs capacity, will cover measures to tighten the regulatory regime, as well as other amendments for better road safety. "
6,ROAD TRAFFIC (AMENDMENT) BILL,,"Let me start with some background. In recent years, the Traffic Police and LTA have stepped up enforcement, education and engagement, to improve road safety. Traffic Police have upgraded and expanded its enforcement camera network. Earlier this year, Traffic Police raised the composition sums for road traffic violations to ensure they remain effective deterrents. LTA has installed new road safety infrastructure. In addition, Traffic Police and LTA ramped up public education and engagement, working with partners such as the Singapore Road Safety Council. "
7,ROAD TRAFFIC (AMENDMENT) BILL,,"These efforts have shown encouraging results. Over the past five years, the number of fatal road traffic accidents has dropped more than 20%. There are also fewer road traffic accidents resulting in injuries. "
8,ROAD TRAFFIC (AMENDMENT) BILL,,"However, irresponsible driving remains a big concern. The number of feedback letters received on irresponsible driving has increased by more than 70% in five years. We also see more video footage of such behaviour being shared online.  "
9,ROAD TRAFFIC (AMENDMENT) BILL,,"Why is this a problem? Because irresponsible driving can have deadly consequences. Even if victims survive the accident, they, or their families, may suffer long-term problems – sometimes, medical; sometimes, permanent disabilities."
10,ROAD TRAFFIC (AMENDMENT) BILL,,"In February 2016, a 62-year-old rag-and-bone lady was killed after a drink-driver rammed his vehicle into her. The lady was the main caregiver to her nine-year old grandson, who was suffering from a rare auto-immune condition. The driver had been drinking for nine straight hours before the accident. Earlier this year, Staff Sgt Salinah, a Police officer and young mother to three children, was knocked down at a pedestrian crossing. After she was declared brain dead, her husband had to make the difficult decision to take her off life support. Her husband said his children still miss their mother the most around bedtime. These are heart-wrenching tragedies that could been avoided.  "
11,ROAD TRAFFIC (AMENDMENT) BILL,,"Enforcement, education and road safety infrastructure must certainly continue to be improved. But we also need stronger deterrence against irresponsible driving."
12,ROAD TRAFFIC (AMENDMENT) BILL,,"MHA reviewed the existing framework of criminal offences and penalties against irresponsible driving. In February this year, we announced our proposals and sought public feedback. In particular, there was broad support for the enhanced penalties. Many felt the move was timely. "
13,ROAD TRAFFIC (AMENDMENT) BILL,,"We also received suggestions, some of which have been adopted and others which we intend to address. I will highlight these suggestions and clarifications in due course."
14,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, all of the proposals announced in February have been translated into the Bill. There are three broad categories of changes: first, our overall approach in dealing with irresponsible driving offences, particularly those that result in accidents and hurt; second, enhancements to the criminal penalties for drink-driving and related offences; and third, the introduction of minimum mandatory sentences for the most egregious offences."
15,ROAD TRAFFIC (AMENDMENT) BILL,,"I will start with our enhanced approach towards irresponsible driving offences. Today, irresponsible driving offences are prosecuted in two ways. One way is under the Penal Code, for Rash Act and Negligent Act. Another way is under the RTA, for Reckless or Dangerous Driving, and Driving without Due Care or Reasonable Consideration. The penalties differ."
16,ROAD TRAFFIC (AMENDMENT) BILL,,"For better clarity and consistency, we propose to consolidate irresponsible driving offences under the RTA. We will also streamline the offences into two classes: the first category is Reckless or Dangerous Driving, which I will refer to as Dangerous Driving in the rest of the speech. The second category is Driving without Due Care or Reasonable Consideration, which I will refer to as Careless Driving. "
17,ROAD TRAFFIC (AMENDMENT) BILL,,The definitions of Dangerous Driving and Careless Driving are currently in the RTA. We will maintain the current definitions.
18,ROAD TRAFFIC (AMENDMENT) BILL,,"Dangerous Driving is more serious than Careless Driving. The two can be differentiated, on a case-by-case basis. The three main considerations, among others, are as follows."
19,ROAD TRAFFIC (AMENDMENT) BILL,,"First, whether the manner of driving predictably puts other road users at risk and cause other road users to be unable to react in time. Examples of driving that are considered as dangerous, as opposed to careless, include swerving across lanes suddenly and without warning, driving against the flow of traffic and speeding."
20,ROAD TRAFFIC (AMENDMENT) BILL,,"Second, whether the motorist had driven, even though he should have known he was not in a condition to drive safely."
21,ROAD TRAFFIC (AMENDMENT) BILL,,"Second, whether the motorist had driven, even though he should have known he was not in a condition to drive safely. Examples of behaviour that are considered dangerous include using mobile devices while driving and failing to use visual aids such as spectacles even though he is seriously short-sighted."
22,ROAD TRAFFIC (AMENDMENT) BILL,,"Third, whether the road situation required the motorist to take extra care but he did not. Examples include when he is approaching a zebra crossing, or a junction where other road users have the right of way."
23,ROAD TRAFFIC (AMENDMENT) BILL,,"When determining the punishment, we will look at the circumstances under which the offence is committed. The threshold for Dangerous Driving is higher than Careless Driving; so too the penalties. "
24,ROAD TRAFFIC (AMENDMENT) BILL,,"Besides looking at the circumstances of the offence, our enhanced approach will also consider the level of harm caused. If the motorist causes more harm, the level of punishment will be higher. "
25,ROAD TRAFFIC (AMENDMENT) BILL,,"There will be four levels of harm: Death, Grievous Hurt, Hurt and Endangering Life. Such tiering of harm is not new in our laws – the Penal Code already has it. "
26,ROAD TRAFFIC (AMENDMENT) BILL,,"To summarise, we will enhance our overall approach to penalise irresponsible driving depending on: (a) the circumstances of the offence – whether it constitutes Dangerous Driving or Careless Driving; and (b) the level of harm caused – whether they result in Death, Grievous Hurt, Hurt, or Endangering Life. "
27,ROAD TRAFFIC (AMENDMENT) BILL,,"Let me move on to the penalties themselves. Today, our penalties for irresponsible driving offences are generally less severe than in other jurisdictions. For example, for Dangerous Driving causing Death. The maximum jail term in Singapore is only five years. It is 14 years in the UK, 10 years in New South Wales in Australia, Hong Kong as well as Malaysia. In most instances, the actual sentences meted out are lower than the maximum penalties. In recent times, there were at least two separate instances of a motorist beating the red light, colliding into and killing another person. In the April 2017 case, a pedestrian was killed. In the April 2018 case, the vehicle collided into another car, killing the rear passenger. Both motorists were charged for the offence of Dangerous Driving causing Death. Their sentences were five and seven months of imprisonment. These are manifestly inadequate. Therefore, we intend to raise the penalties. We also need to raise sentencing norms for egregious irresponsible driving offences, particularly those that result in death or some form of permanent disabilities. "
28,ROAD TRAFFIC (AMENDMENT) BILL,,"Let me first deal with penalties in general. Clauses 13 and 14 of the Bill amend sections 64 and 65 to introduce higher maximum jail terms and fines, where applicable, as compared to the existing penalties under the Penal Code and RTA. We will also introduce additional levers to take irresponsible motorists off the roads more quickly and for longer. "
29,ROAD TRAFFIC (AMENDMENT) BILL,,"First, we will give Traffic Police the discretion to impose immediate suspension for all Dangerous Driving offences, as well as Careless Driving offences that cause Death or Grievous Hurt. Otherwise, these motorists can continue to drive until such time that they are convicted. Traffic Police already have the discretion to do so for offences that result in death, serious injury or serious damage to buildings. Clause 11 amends section 47C to cover all cases of Dangerous Driving as well. "
30,ROAD TRAFFIC (AMENDMENT) BILL,,"Second, we will introduce minimum disqualification or DQ periods for offences that cause Death and Grievous Hurt. In exceptional circumstances, such as where the motorist committed the offence while rushing for a medical emergency, the Courts will have the discretion not to apply the minimum DQ periods. Clauses 13 and 14 of the Bill amend sections 64 and 65 for these purposes."
31,ROAD TRAFFIC (AMENDMENT) BILL,,"Third, the Public Prosecutor may apply for forfeiture of a vehicle used for an expanded group of offences, such as Dangerous Driving causing Death or Grievous Hurt. Clauses 3 and 15 bring this into effect. For these offences, the Courts will have the discretion not to forfeit the vehicle if the offender is not the vehicle owner and had driven the vehicle without the owner’s consent. In addition, for specified offences, the Courts will also have the discretion not to forfeit the vehicle, if there are good reasons. For instance, if the motorist has committed the offence while rushing to the hospital for a medical emergency. "
32,ROAD TRAFFIC (AMENDMENT) BILL,,"With these changes, for Dangerous Driving causing Death, a first-time offender will be liable for up to eight years of imprisonment, up from five years at present. Repeat offenders will now be liable for up to 15 years of imprisonment. In addition, a first-time or repeat offender could also face a minimum DQ period of 10 years as well as immediate suspension and forfeiture of vehicle."
33,ROAD TRAFFIC (AMENDMENT) BILL,,"As we are consolidating irresponsible driving offences under RTA, we should make clear the understanding of “repeat offender”. It will include a person who has a previous conviction for any Rash or Negligent Act offence in the Penal Code where irresponsible driving was involved. Likewise, any Dangerous Driving or Careless Driving convictions under the RTA, or speeding-related convictions are included. Speeding-related convictions will include offences such as Illegal Speed Trials, colloquially known as illegal street racing, which have been tried and convicted by the Courts. However, it will not include speeding-related offences which have been compounded, which is the way most minor speeding offences are settled today."
34,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, I will now turn to the amendments for driving under influence. Drivers who are drunk or drug-impaired show a blatant disregard for the safety of other road users. They are one of the biggest contributors to serious accidents on our roads. These are also accidents that clearly could have been avoided if the motorist had not come under influence or did not drive. Currently, such motorists typically face the same maximum penalties as other motorists who cause accidents. The judge may take into consideration that the offender was driving under influence during the sentencing itself. But it would be clearer to have our intentions codified in law. In fact, our intention is for offenders driving under influence to face stiffer penalties to signal the aggravated seriousness of their actions. "
35,ROAD TRAFFIC (AMENDMENT) BILL,,"In August 2013, a motorist drove his car at high speeds, swaying between lanes along CTE. Eventually, he rammed into a group of five, killing four victims. He was sentenced to the maximum penalty of five years in jail for dangerous driving causing death, the maximum punishment available. The Court could not mete out higher penalties even though he had knowingly consumed drugs before driving and was a recalcitrant offender. We therefore propose to introduce additional penalties for a motorist who commit a Dangerous Driving or Careless Driving offence, and who is found guilty for driving under the influence of alcohol or drugs; or had refused to take a breathalyser or blood alcohol test when directed by Traffic Police. These will be in the form of additional maximum penalties and additional minimum DQ periods."
36,ROAD TRAFFIC (AMENDMENT) BILL,,"For example, a first-time offender who causes death by Dangerous Driving and had done so while driving under the influence of alcohol or drugs will face an additional maximum jail term of two years, and an additional minimum DQ period of two years. This means that motorists who drink-and-drive, and cause death by Dangerous Driving will now be liable for a maximum jail term of 10 years, and to a minimum DQ period of at least 12 years. Repeat offenders will likewise face higher penalties of up to 19 years in jail and lifetime disqualification from driving. An individual will be deemed a repeat offender for an offence of driving under influence, if he has a previous conviction for driving under influence, for being in charge of a motor vehicle while under the influence of drugs or alcohol, or for failure to produce a specimen for a drug or alcohol test."
37,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, during the public engagement process, respondents felt that even a standalone driving under influence offence where no accident is caused, should attract higher penalties to better reflect its gravity. "
38,ROAD TRAFFIC (AMENDMENT) BILL,,"We agree with this view. The consumption of alcohol or drugs already makes a motorist a danger to other road users. Section 67 in Clause 17 of the Bill will raise the penalties to about double the current levels. We will also raise the existing minimum DQ period to two years for first-time driving under influence offenders and five years for second-time driving under influence offenders. A lifelong disqualification will be imposed on third-time driving under influence offenders. In addition, we will amend section 47C through clause 11 to allow Traffic Police to impose immediate suspension for all driving under influence offences."
39,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, some Members may rightly point out that the penalties, particularly those for first-time offenders, are still lower than those in other jurisdictions. How exactly then does MHA intend to raise the sentencing norms for irresponsible driving offences? This is where the last category of changes come in. "
40,ROAD TRAFFIC (AMENDMENT) BILL,,"We will set benchmarks based on egregious offences where manifestly inadequate jail sentences must be avoided. We will introduce mandatory minimum jail sentences, or MMS, for Dangerous Driving causing Death or Grievous Hurt. With the changes, a first-time offender for Dangerous Driving causing Death will be jailed for at least two years. Repeat offenders will be jailed for at least four years. We will also have mandatory minimum jail sentences for the offences of Dangerous Driving causing Death or Grievous Hurt, where driving under influence is involved. A first-time offender who causes death will be jailed for at least three years. Repeat offenders can face minimum sentences of up to six years in jail."
41,ROAD TRAFFIC (AMENDMENT) BILL,,"Take for example, the case of the 62-year-old rag-and-bone lady, whom I mentioned earlier, and she was killed by a drink-driver. The offender had been drinking for nine straight hours and was charged for the offence of causing death by a rash act. During sentencing, also taken into consideration were one count of drink-driving and another count of causing grievous hurt to the dead victim’s husband by a rash act. In all, against a maximum penalty of five years’ imprisonment, he received a term of 10 months and disqualification of eight years. Many people felt rightly that the motorist was let off too lightly. With the changes, the offender will be sentenced to at least three years in jail, if he is convicted of both Dangerous Driving causing Death and driving under influence. The minimum disqualification will also be lengthened to 12 years."
42,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, after we had tabled the Bill for First Reading, we received additional feedback. Some respondents noted that while mandatory minimum jail sentences were justified for egregious offenders, there may be rare but valid cases where exceptional extenuating circumstances prevail and where imposing the minimum jail sentence may result in an unfair punishment. These concerns are valid. We need not prescribe the extenuating instances in law. Instead, we have introduced an amendment to the Bill to provide the Courts with discretion to deviate from and impose a sentence lower than the mandatory minimum jail sentence terms should there be special reasons to do so. Special reasons must constitute exceptional mitigating factors or circumstances specific to the case. For example, the offender was rushing to send a passenger for emergency medical treatment in a life-and-death situation when the accident occurred."
43,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, motorists who have a blatant disregard for the safety of other road users should be severely punished. During our public engagement, some respondents asked if punishments for inconsiderate non-motorists should also be increased. The road situation today is more complex as compared to 20 years ago when the last major review was conducted. There are new groups of road users, such as active mobility device users or new types of vocational drivers and riders. Motorists alone cannot be held responsible for the road safety of all road users. These amendments, therefore, cannot be viewed in isolation."
44,ROAD TRAFFIC (AMENDMENT) BILL,,"MHA has been working with our counterparts at MOT and MOM, to address other aspects of road safety such as active mobility and vocational drivers. For example, the composition fines for traffic violations by pedestrians and cyclists were raised recently. "
45,ROAD TRAFFIC (AMENDMENT) BILL,,"As I mentioned earlier, Traffic Police and LTA have taken steps beyond enforcement. Engagement and education do help to rehabilitate errant road users. However, where an act is dangerous and causes harm to others, we should not let it go lightly punished. Doing so will only undermine our road safety regime. "
46,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, this Bill is necessary to help make our roads safer, by enhancing deterrence against irresponsible driving. I beg to move."
47,ROAD TRAFFIC (AMENDMENT) BILL,,Question proposed.
48,ROAD TRAFFIC (AMENDMENT) BILL,The Senior Parliamentary Secretary to the Minister for Home Affairs (Ms Sun Xueling),"The Senior Parliamentary Secretary to the Minister for Home Affairs (Ms Sun Xueling): Mr Speaker, Second Minister for Home Affairs, Mrs Josephine Teo, has outlined MHA’s rationale behind enhancing criminal penalties for irresponsible driving. I will now be speaking in my capacity as Senior Parliamentary Secretary for MHA, and explain the Ministry’s views on the remaining amendments. "
49,ROAD TRAFFIC (AMENDMENT) BILL,,"First, I will cover the measures to tighten the regulatory regime against irresponsible driving; and second, other minor amendments to improve road safety."
50,ROAD TRAFFIC (AMENDMENT) BILL,,"The Traffic Police operate the Driver Improvement Points System, DIPS for short. Under this regime, a motorist clocks demerit points when he commits a traffic offence – the more severe the offence, the more demerit points it will attract. Motorists that exceed a stipulated threshold will have their licences suspended.  "
51,ROAD TRAFFIC (AMENDMENT) BILL,,"The DIPS regime is a deterrent against risk-taking behaviour that is dangerous to other road users, such as illegal U-turns, speeding, and beating red-lights. "
52,ROAD TRAFFIC (AMENDMENT) BILL,,"MHA intends to enhance the DIPS regime to further deter risk-taking behaviour by motorists. There are four key measures. First, to streamline the licence suspension and revocation process; second, to lengthen the licence suspension period for repeat offenders; third, to revoke all of an individual’s probationary licences, as long as any one of them is revoked; and fourth, to allow the Courts to consider past compounded road traffic offences as an aggravating factor for the purposes of sentencing a person convicted of a road traffic offence. "
53,ROAD TRAFFIC (AMENDMENT) BILL,,I will cover each of the measures in turn. 
54,ROAD TRAFFIC (AMENDMENT) BILL,,"First, to streamline the suspension and revocation process. Currently, some errant motorists delay the suspension or revocation of their licences by misusing the appeals mechanism. They file multiple unmerited appeals at different junctures and through different channels. By doing so, they drag out the process, so that they can continue to drive in the interim. But we need to remember, these are irresponsible drivers who have already been picked up for multiple offences leading to a suspension or revocation. To allow them to continue driving while they drag out the appeal process, is to put other motorists at risk. "
55,ROAD TRAFFIC (AMENDMENT) BILL,,"We will amend the RTA to make it clear that the Deputy Commissioner of Police, or DCP for short, is allowed to effect licence suspension or revocation four weeks from the date of its notice to the affected motorist. Motorists can still appeal to DCP. Police where possible will process and respond to an appeal within two weeks of receiving the appeal. However, DCP will have the power to suspend or revoke the licence four weeks after the date of its notice, even if the appeal is still being processed. For example, there are cases where the motorist only submits an appeal close to four weeks after receiving the notice. The DCP may still suspend or revoke the licence first and subsequently rescind the suspension or revocation if there are valid grounds to do so."
56,ROAD TRAFFIC (AMENDMENT) BILL,,"We need to bear in mind that to be facing a suspension or revocation, the errant motorist will already have committed several offences prior."
57,ROAD TRAFFIC (AMENDMENT) BILL,,"Mr Speaker, at this point, I would like to highlight that Traffic Police only suspend or revoke an individual’s licence, when there are good reasons to do so."
58,ROAD TRAFFIC (AMENDMENT) BILL,,"First, a suspension or revocation is imposed only when objective criteria are met. For suspension, this usually happens when the motorist has breached the demerit point threshold – either 24 or 12 points, depending on how many prior suspensions he has had. For revocation, this happens when he is on probation and has clocked more than 12 demerit points. "
59,ROAD TRAFFIC (AMENDMENT) BILL,,"Second, for Traffic Police to mete out demerit points to a motorist, one of two conditions must apply. First, the Courts have convicted the motorist of the offence. Or two, the motorist has compounded the offence he is reasonably suspected to have committed. This means that the motorist would have already had a previous opportunity to appeal against these individual offences, by either contesting it in Court or appealing to Traffic Police during an offer of composition, before the demerit points were awarded to him."
60,ROAD TRAFFIC (AMENDMENT) BILL,,"Third, motorists who are caught committing a road traffic violation also typically have little reason to dispute against the violation. Traffic Police only take enforcement action when they are strong grounds that an offence has been made out. For a majority of offences, the evidence typically comes in the form of photographic or video evidence or by detection from Traffic Police’s enforcement unit. "
61,ROAD TRAFFIC (AMENDMENT) BILL,,"I would also like to speak on appeals in general. A number of affected motorists appeal against suspension or revocation on the basis that they need to drive as part of their job. Actually, if an individual depends on driving to make a living, that is all the more reason for him to drive safely and for him to be off the roads if he is unable or unwilling to do so. Traffic Police, as part of the overall road safety strategy, offer motorists the opportunity to improve their driving behaviour through retraining courses. "
62,ROAD TRAFFIC (AMENDMENT) BILL,,"Firstly, motorists who accumulate more than one-third of the maximum allowable demerit points are offered the opportunity to attend the Safe Driving Course, an early intervention measure for those who have exhibited unsafe driving behaviours. Upon completion of the course, motorists will have four demerit points expunged from their records."
63,ROAD TRAFFIC (AMENDMENT) BILL,,"Secondly, motorists who are liable for their first and second suspensions are offered the opportunity to attend the Driver Improvement Point System Retraining Course, also known as the DIPS Retraining Course, which is a rehabilitation course to help errant motorists re-learn and practise safe driving habits. Upon successfully passing the course, motorists will have their suspension periods reduced significantly."
