,names,text
0,,Debate resumed.
1,Mr Xie Yao Quan (Jurong),"Mr Xie Yao Quan (Jurong): Mr Speaker, Sir, in Mandarin, please. "
2,,"(In Mandarin): [Please refer to Vernacular Speech.] Mr Speaker, Sir, the High Court ruled that the Liew family may have ulterior motives, and wrongly accused their former maid Liyani of stealing. This case lasted for 4 years, going through all sorts of twists and turns which include the police's handling of the stolen items, the DVD player presented by the prosecutors as evidence in court, and the State Court judge choosing to believe in Carl Liew and convict Ms Liyani. "
3,,"All these have aroused a strong sense of justice among many Singaporeans. In their eyes, this is a clash between the rich and the poor. The rich and famous use their power and the judicial system to take advantage of a vulnerable maid, and the judicial system did not seem to have treated her fairly."
4,,"To be honest, I felt the same way when I learned of the High Court's ruling. I am not a lawyer myself. So, from the perspective of the general public, I can totally imagine that the ordinary citizens would cheer silently for Liyani’s acquittal and getting her freedom back. On the other hand, people also started to have suspicions, frustrations, and even resistance towards celebrities and our legal system."
5,,"Therefore, I welcome the statement just made by the Minister for Home Affairs and Law. The Minister made several important clarifications. First, as for the police, the Minister was of the view that the police did commit a lapse in handling the exhibits. Second, in response to the handling of the DVD player by the prosecutors, AGC has also initiated relevant legal and disciplinary proceedings. It is not appropriate for the Minister to make further comments. But the point is that due process is being carried out progressively. Third, as for Carl Liew, we learnt from the Ministerial Statement that the authorities have also started further investigations on him."
6,,"At the same time, after further reflection on the case, I begin to understand that precisely because the case has drawn much public attention, we must be more vigilant, and avoid falling into the trap of ""knocking off everyone in the boat with one pole"". "
7,,"When ""one bamboo pole knocks off everyone in the boat"", It is not only the boat that is overturned, but also the people on board the boat."
8,,"So, let me first talk about the boat, then talk about the people in the boat. The so-called ""boat"" is our country's current legal system. The Liyani case reflected several core issues in the system. The first question is: does the system work in favour of the rich and powerful?"
9,,"Let us look at a few examples. In 2019, Tay May Li, daughter of the Hour Glass founder, was sentenced to 22 months in jail, for careless driving, drug abuse and possession of drugs. "
10,,"In 2017, Howard Shaw, grandson of movie mogul Shaw Runme, was sentenced to 8 weeks in prison, revocation of all classes of driving licence for 8 years for drink driving. Earlier in 2012, He was sentenced to 12 weeks' imprisonment for child prostitution."
11,,"Huang Guang Tian, the son of a shipping tycoon, was charged with 19 counts of drug abuse, fraud and theft and was sentenced to 3 years and 9 months' imprisonment."
